menu,day,foodtype,language,location,source,price
Kokos-Massaman-Hähnchencurry mit Reis,1,Meat,german,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/12/Lunch-Special-9.12.pdf,
Butter Chicken Masala mit Reis,2,Meat,german,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/12/Lunch-Special-9.12.pdf,
Hähnchen-Gemüse-Wok mit Reis und Teriyaki-Sauce,3,Meat,german,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/12/Lunch-Special-9.12.pdf,
Rotes Thai-Hähnchencurry mit Reis,4,Meat,german,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/12/Lunch-Special-9.12.pdf,
Gebackener Fisch mit Petersilienkartoffeln,5,Meat,german,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/12/Lunch-Special-9.12.pdf,
Gebratener Gemüse-Wok mit Frühlingsrolle,1,Veggie,german,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/12/Lunch-Special-9.12.pdf,
Vollkorn-Penne Pomodorini mit Parmesan und Rucola-Salat,2,Veggie,german,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/12/Lunch-Special-9.12.pdf,
Thai-Kokos-Gemüsecurry mit Reis,3,Veggie,german,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/12/Lunch-Special-9.12.pdf,
Veganes Chana Masala mit Reis,4,Veggie,german,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/12/Lunch-Special-9.12.pdf,
Bunter Falafelteller mit Pita,5,Veggie,german,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/12/Lunch-Special-9.12.pdf,
Kokos Massaman chicken curry with rice,1,Meat,english,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/12/Lunch-Special-9.12.pdf,
Butter chicken masala with rice,2,Meat,english,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/12/Lunch-Special-9.12.pdf,
Chicken-vegetable wok with rice and teriyaki sauce,3,Meat,english,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/12/Lunch-Special-9.12.pdf,
Red Thai chicken curry with rice,4,Meat,english,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/12/Lunch-Special-9.12.pdf,
Baked fish with parsley potatoes,5,Meat,english,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/12/Lunch-Special-9.12.pdf,
Fried vegetable wok with spring roller,1,Veggie,english,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/12/Lunch-Special-9.12.pdf,
Vollkorn-Penne Pomodorini with Parmesan and Rucola salad,2,Veggie,english,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/12/Lunch-Special-9.12.pdf,
Thai-coconut vegetable curry with rice,3,Veggie,english,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/12/Lunch-Special-9.12.pdf,
Vegan Chana Masala with rice,4,Veggie,english,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/12/Lunch-Special-9.12.pdf,
Colorful Falafeltelle with Pita,5,Veggie,english,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/12/Lunch-Special-9.12.pdf,
"Klare Gemüsesuppe | Einlage A,C,G,L",1,Tagesuppe,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
laut Tagesaushang,1,Soup Deal,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Makkaroni-Käse-Auflauf | Tomatensauce A,C,G,L",1,Powered by plants 100% plant based or Veggie,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Faschierter Braten (Schwein) | Kartoffelpüree | Saft | Röstzwiebel A,C,G,L,M,O",1,Meaty,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
